Id,Label,Type
469,Zeitwerk,Restaurant
470,Haus Stemberg ANNO 1864,Restaurant
471,ZUR WEINSTEIGE,Restaurant
472,The O'ROOM,Restaurant
473,Bachofer,Restaurant
474,Hirsch,Restaurant
475,Wielandshöhe,Restaurant
476,5,Restaurant
477,Haubentaucher,Restaurant
478,Philipp,Restaurant
479,Restaurant Alexander Huber,Restaurant
480,Entenstuben,Restaurant
481,Storstad,Restaurant
482,Petit Amour,Restaurant
483,Stephans Stuben by Marco Langer,Restaurant
484,BOK Restaurant Brust oder Keule,Restaurant
485,Heimatjuwel,Restaurant
486,Oettinger's Restaurant,Restaurant
487,Setzkasten,Restaurant
488,Agata's,Restaurant
489,1876 Daniel Dal-Ben,Restaurant
490,Jean,Restaurant
491,Carmelo Greco,Restaurant
492,Schwarzer Hahn,Restaurant
493,Nagaya,Restaurant
494,BjörnsOx,Restaurant
495,Friedrich Franz,Restaurant
496,Lorenz Adlon Esszimmer,Restaurant
497,La Bécasse,Restaurant
498,Mittermeier,Restaurant
499,Falconera,Restaurant
500,Waidwerk,Restaurant
501,Buchner Welchenberg 1658,Restaurant
502,Piment,Restaurant
503,Werners Restaurant,Restaurant
504,Rüssel's Landhaus,Restaurant
505,Jellyfish,Restaurant
506,Mühlenhelle,Restaurant
507,Erno's Bistro,Restaurant
508,Alt Wyk,Restaurant
509,Hannappel,Restaurant
510,Seven Swans,Restaurant
511,Alte Schule - Klassenzimmer,Restaurant
512,Clara - Restaurant im Kaisersaal,Restaurant
513,Genuss-Atelier,Restaurant
514,Das garbo zum Löwen,Restaurant
515,Yoshi by Nagaya,Restaurant
516,Rosin,Restaurant
517,Goldener Anker,Restaurant
518,halbedel's Gasthaus,Restaurant
519,die burg - fine dining,Restaurant
520,Sterneck,Restaurant
521,SKYKITCHEN,Restaurant
522,Yunico,Restaurant
523,tulus lotrek,Restaurant
524,St. Andreas,Restaurant
525,1570 - CASUAL FINE DINING,Restaurant
526,Schattbuch,Restaurant
527,Schlossberg,Restaurant
528,Schwingshackl ESSKULTUR,Restaurant
529,Restaurant Kunz,Restaurant
530,pars Restaurant,Restaurant
531,Restaurant Villa Merton,Restaurant
532,Gasthaus Jakob,Restaurant
533,Wein- und Tafelhaus,Restaurant
534,Les Deux,Restaurant
535,Eichhalde,Restaurant
536,Koer,Restaurant
537,Hämmerle's Restaurant,Restaurant
538,Zur Tant,Restaurant
539,maximilian lorenz,Restaurant
540,Winzerhof Stahl,Restaurant
541,LA VIE by thomas bühner,Restaurant
542,Marie,Restaurant
543,Sahila - The Restaurant,Restaurant
