Name,Cuisine,Award
Saneh Jaan,Thai,1 Star
Jay Fai,"Street Food, Thai",1 Star
Le Du,Thai contemporary,1 Star
"Elements, Inspired by Ciel Bleu",French Contemporary,1 Star
80/20,Thai contemporary,1 Star
Chim by Siam Wisdom,Thai,1 Star
Juksunchae,Korean Contemporary,1 Star
etcha,"Creative, European Contemporary",1 Star
Bo.lan,Thai,1 Star
Aksorn,Thai,1 Star
Nahm,"Thai, Thai contemporary",1 Star
NAWA,Thai contemporary,1 Star
Coda,Thai contemporary,1 Star
Samrub Samrub Thai,Thai,1 Star
EMi,"Modern Cuisine, Contemporary",1 Star
La Revelía,"Regional Cuisine, Contemporary",1 Star
Sen Omakase,Japanese,1 Star
Nublo,Modern Cuisine,1 Star
Garena,Contemporary,1 Star
ReComiendo,"Creative, Modern Cuisine",1 Star
Ancestral,Modern Cuisine,1 Star
iBAi by Paulo Airaudo,Basque,1 Star
Kamezí,Creative,1 Star
Èter,Contemporary,1 Star
Haydée by Víctor Suárez,Contemporary,1 Star
Itzuli,"Contemporary, Modern Cuisine",1 Star
Faralá,Contemporary,1 Star
Montia,Modern Cuisine,1 Star
Nub,Creative,1 Star
Taste 1973,Creative,1 Star
SCAPAR,Fusion,1 Star
Esperit Roca,"Creative, Modern Cuisine",1 Star
Kaido Sushi Bar,Japanese,1 Star
Código de Barra,"Modern Cuisine, Regional Cuisine",1 Star
Donaire,Contemporary,1 Star
Alquimia - Laboratorio,"Creative, Modern Cuisine",1 Star
Maruja Limón,Contemporary,1 Star
Nintai,Japanese,1 Star
Fraula,Contemporary,1 Star
Alejandro Serrano,Modern Cuisine,1 Star
Ayalga,Modern Cuisine,1 Star
Ajonegro,Fusion,1 Star
La Prensa,Contemporary,1 Star
Versátil,Contemporary,1 Star
Les Moles,"Modern Cuisine, Creative",1 Star
Fogony,Modern Cuisine,1 Star
Refectorio,Creative,1 Star
L'Ó,Modern Cuisine,1 Star
Casona del Judío,Modern Cuisine,1 Star
Deliranto,"Contemporary, Modern Cuisine",1 Star
Epílogo,Modern Cuisine,1 Star
Almo de Juan Guillamón,"Mediterranean Cuisine, Contemporary",1 Star
Coto de Quevedo Evolución,"Traditional Cuisine, Contemporary",1 Star
Ola Martín Berasategui,"Modern Cuisine, Traditional Cuisine",1 Star
Trigo,Modern Cuisine,1 Star
Cañabota,Seafood,1 Star
A Tafona,Contemporary,1 Star
Riff,"Creative, Modern Cuisine",1 Star
Els Casals,"Catalan, Contemporary",1 Star
El Xato,"Creative, Mediterranean Cuisine",1 Star
Nova,Contemporary,1 Star
El Bohío,Modern Cuisine,1 Star
La Bicicleta,Modern Cuisine,1 Star
Cocinandos,Modern Cuisine,1 Star
La Tasquería,Modern Cuisine,1 Star
BACK,"Modern Cuisine, Andalusian",1 Star
Solla,"Creative, Seafood",1 Star
Taller Arzuaga,"Creative, Modern Cuisine",1 Star
Zaranda,Creative,1 Star
Llavor,Contemporary,1 Star
Mare,"Modern Cuisine, Regional Cuisine",1 Star
Casa Arcas,"Contemporary, Modern Cuisine",1 Star
Saddle,"Modern Cuisine, Classic Cuisine",1 Star
Arrels,"Contemporary, Modern Cuisine",1 Star
Quatre Molins,Creative,1 Star
Gente Rara,"Creative, Contemporary",1 Star
Ceibe,"Galician, Creative",1 Star
La Salita,"Creative, Modern Cuisine",1 Star
Poemas by Hermanos Padrón,Creative,1 Star
Slow & Low,"World Cuisine, Contemporary",1 Star
Silabario,Contemporary,1 Star
Palodú,"Contemporary, Traditional Cuisine",1 Star
La Casa de Manolo Franco,Contemporary,1 Star
Ca l'Enric,Creative,1 Star
Cal Paradís,Contemporary,1 Star
Villa Retiro,"Creative, Traditional Cuisine",1 Star
L'Antic Molí,"Modern Cuisine, Traditional Cuisine",1 Star
Hospedería El Batán,"Modern Cuisine, Creative",1 Star
Casa Marcelo,Fusion,1 Star
Real Balneario,Farm to table,1 Star
Abantal,Creative,1 Star
Chirón,Modern Cuisine,1 Star
El Doncel,Modern Cuisine,1 Star
Eirado,Contemporary,1 Star
Alameda,Modern Cuisine,1 Star
Casa Gerardo,Modern Cuisine,1 Star
Rodero,"Modern Cuisine, Contemporary",1 Star
Kiro Sushi,Japanese,1 Star
Gofio,"Contemporary, Regional Cuisine",1 Star
As Garzas,Galician,1 Star
Els Tinars,"Traditional Cuisine, Seasonal Cuisine",1 Star
Yugo The Bunker,Japanese,1 Star
Magoga,"Contemporary, Traditional Cuisine",1 Star
José Carlos García,"Creative, Andalusian",1 Star
A'Barra,International,1 Star
Ferpel Gastronómico,"Contemporary, Traditional Cuisine",1 Star
Eneko,Creative,1 Star
Europa,Contemporary,1 Star
Origen,Contemporary,1 Star
Ansils,Contemporary,1 Star
Tabaiba,Creative,1 Star
Atempo,Modern Cuisine,1 Star
Quimbaya,Colombian,1 Star
Kaleja,Contemporary,1 Star
Voramar,Contemporary,1 Star
O'Pazo,Grills,1 Star
Tula,"Mediterranean Cuisine, Modern Cuisine",1 Star
Retama,Modern Cuisine,1 Star
Monte,"Modern Cuisine, Contemporary",1 Star
DINS Santi Taura,Modern Cuisine,1 Star
Miguel González,Contemporary,1 Star
Tayta by Víctor Gutiérrez,"Creative, Fusion",1 Star
Ibaya,"Creative, Modern Cuisine",1 Star
Dama Juana,"Modern Cuisine, Traditional Cuisine",1 Star
ARREA!,Regional Cuisine,1 Star
Lienzo,"Modern Cuisine, Mediterranean Cuisine",1 Star
El Molino de Alcuneza,Modern Cuisine,1 Star
Regueiro,"Fusion, Creative",1 Star
En la Parra,Contemporary,1 Star
El Retiro,Modern Cuisine,1 Star
Castell Perelada,Modern Cuisine,1 Star
Bagá,Modern Cuisine,1 Star
Ikaro,Creative,1 Star
Ricardo Sanz Wellington,Japanese Contemporary,1 Star
Árbore da Veira,Creative,1 Star
Emporium,Modern Cuisine,1 Star
Pablo,Contemporary,1 Star
Clos Madrid,Modern Cuisine,1 Star
Massana,Modern Cuisine,1 Star
Tresmacarrons,Modern Cuisine,1 Star
Messina,Creative,1 Star
La Lobita,"Creative, Seasonal Cuisine",1 Star
Sala,Traditional Cuisine,1 Star
Casa Pepa,Creative,1 Star
Santerra,Contemporary,1 Star
Divinum,"Contemporary, Catalan",1 Star
Peix & Brases,"Mediterranean Cuisine, Modern Cuisine",1 Star
Auga,Traditional Cuisine,1 Star
Gaytán,Modern Cuisine,1 Star
La Botica de Matapozuelos,"Contemporary, Castilian",1 Star
Lillas Pastia,"Modern Cuisine, Farm to table",1 Star
Tatau,"Creative, Traditional Cuisine",1 Star
Corral de la Morería Gastronómico,Modern Cuisine,1 Star
Choco,"Creative, Andalusian",1 Star
Lera,"Regional Cuisine, Modern Cuisine",1 Star
Nerua Guggenheim Bilbao,Creative,1 Star
Les Magnòlies,Modern Cuisine,1 Star
La Finca,Creative,1 Star
Caelis,Creative,1 Star
Rincón de Diego,Traditional Cuisine,1 Star
Can Jubany,Modern Cuisine,1 Star
Koy Shunka,"Japanese, Fusion",1 Star
Atalaya,"Contemporary, Creative",1 Star
Mesón Sabor Andaluz,Contemporary,1 Star
El Taller Seve Díaz,"Contemporary, Creative",1 Star
Simpar,Contemporary,1 Star
OSA,Modern Cuisine,1 Star
Hofmann,Modern Cuisine,1 Star
El Ermitaño,"Traditional Cuisine, Modern Cuisine",1 Star
Los Guayres,"Modern Cuisine, Spanish",1 Star
Zarate,"Seafood, Traditional Cuisine",1 Star
Barahonda,Modern Cuisine,1 Star
Boroa,"Traditional Cuisine, Modern Cuisine",1 Star
Unic,Innovative,1 Star
Ambivium,Modern Cuisine,1 Star
Pico Velasco,Modern Cuisine,1 Star
MAE Barcelona,Creative,1 Star
Canfranc Express,Contemporary,1 Star
Omakase by Walt,Japanese,1 Star
Muxgo,Creative,1 Star
Toki,Japanese,1 Star
Chispa Bistró,Modern Cuisine,1 Star
Vandelvira,Modern Cuisine,1 Star
Prodigi,Modern Cuisine,1 Star
Radis,Modern Cuisine,1 Star
COME by Paco Méndez,"Mexican, Fusion",1 Star
San-Hô,Fusion,1 Star
Rubén Miralles,"Modern Cuisine, Contemporary",1 Star
El Invernadero,"Vegetarian, Vegan",1 Star
Andra Mari,"Traditional Cuisine, Contemporary",1 Star
Sollo,"Creative, Modern Cuisine",1 Star
Alkimia,Modern Cuisine,1 Star
Yayo Daporta,Creative,1 Star
Etxebarri,Grills,1 Star
Malena,"Modern Cuisine, Farm to table",1 Star
Kokotxa,Modern Cuisine,1 Star
Angle,Modern Cuisine,1 Star
Fierro,Modern Cuisine,1 Star
Mina,"Creative, Seasonal Cuisine",1 Star
La Gaia,"Fusion, International",1 Star
Andreu Genestra,Creative,1 Star
VelascoAbellà,Farm to table,1 Star
Moments,Creative,1 Star
Raúl Resino,"Creative, Seafood",1 Star
Dos Palillos,Fusion,1 Star
La Aquarela,Creative,1 Star
Béns d'Avall,Contemporary,1 Star
Marc Fosh,"Modern Cuisine, Regional Cuisine",1 Star
Mu•na,"Fusion, Japanese Contemporary",1 Star
Ricardo Temiño,"Modern Cuisine, Regional Cuisine",1 Star
Citrus del Tancat,Modern Cuisine,1 Star
Marcos,Modern Cuisine,1 Star
Terra,Modern Cuisine,1 Star
Erre de Roca,Contemporary,1 Star
Casas Colgadas Restaurante,Contemporary,1 Star
Quirat,"Contemporary, Seasonal Cuisine",1 Star
Simposio,Contemporary,1 Star
Vértigo,"Contemporary, Farm to table",1 Star
Oba-,"Creative, Modern Cuisine",1 Star
Ama,"Contemporary, Regional Cuisine",1 Star
Casa Bernardi,Italian Contemporary,1 Star
La Era de los Nogales,Modern Cuisine,1 Star
Frases,Modern Cuisine,1 Star
Ugo Chan,Fusion,1 Star
El Serbal,Modern Cuisine,1 Star
La Fonda Xesc,Modern Cuisine,1 Star
Orobianco,Italian Contemporary,1 Star
Can Bosch,Traditional Cuisine,1 Star
Lluerna,Modern Cuisine,1 Star
El Corral del Indianu,Modern Cuisine,1 Star
Raíces-Carlos Maldonado,Creative,1 Star
La Costa,"Contemporary, Mediterranean Cuisine",1 Star
Elkano,"Seafood, Grills",1 Star
Via Veneto,Classic Cuisine,1 Star
Callizo,"Creative, Innovative",1 Star
L'Aliança d'Anglès,"Contemporary, Catalan",1 Star
Fusion19,Fusion,1 Star
Maca de Castro,Creative,1 Star
Barro,Creative,1 Star
Hisop,Creative,1 Star
Audrey's,"Creative, Regional Cuisine",1 Star
Beat,"International, French Contemporary",1 Star
Baeza & Rufete,Modern Cuisine,1 Star
Es Fum,"Creative, International",1 Star
Solana,Modern Cuisine,1 Star
Bakea,Regional Cuisine,1 Star
Mantúa,Modern Cuisine,1 Star
Txispa,"Creative, Contemporary",1 Star
Pabú,Creative,1 Star
Ochando,Contemporary,1 Star
Kamikaze,"Fusion, Creative",1 Star
CEBO,Creative,1 Star
Malak,Contemporary,1 Star
Blossom,Contemporary,1 Star
Suto,Japanese,1 Star
Casa Nova,Modern Cuisine,1 Star
Casa Rubén,"Contemporary, Creative",1 Star
Il Bocconcino by Royal Hideaway,Italian Contemporary,1 Star
Islares,Creative,1 Star
RavioXO,"Creative, Dumplings",1 Star
Fishølogy,"Contemporary, Mediterranean Cuisine",1 Star
Desde 1911,Seafood,1 Star
Kabo,Contemporary,1 Star
Cobo Evolución,Modern Cuisine,1 Star
Ababol,"Contemporary, Regional Cuisine",1 Star
Sa Clastra,Creative,1 Star
Hatter,European Contemporary,1 Star
Qing You Yu,Seafood,1 Star
Jiangnan Wok ‧ Rong,Huaiyang,1 Star
Fleurs Et Festin,Chao Zhou,1 Star
Wenru No.9,Fujian,1 Star
Hokklo,Fujian,1 Star
Yanyu (Jiahe Road),Fujian,1 Star
Fradis Minoris,"Sardinian, Modern Cuisine",1 Star
Romano,Seafood,1 Star
Locanda Mammì,"Modern Cuisine, Classic Cuisine",1 Star
Antica Osteria Nonna Rosa,"Campanian, Creative",1 Star
Al Madrigale | Nuova Cucina Rurale,"Regional Cuisine, Modern Cuisine",1 Star
Votavota,"Modern Cuisine, Seafood",1 Star
Osteria del Viandante,"Emilian, Modern Cuisine",1 Star
I Castagni,"Classic Cuisine, Country cooking",1 Star
San Giorgio,"Modern Cuisine, Ligurian",1 Star
Luisl Stube,"Creative, Contemporary",1 Star
Dalla Gioconda,"Country cooking, Creative",1 Star
Kitchen,Italian Contemporary,1 Star
Il Desco,"Italian Contemporary, Modern Cuisine",1 Star
Oro Restaurant,"Italian Contemporary, Creative",1 Star
Maeba Restaurant,Italian Contemporary,1 Star
San Martino,Seafood,1 Star
Dolce Stil Novo alla Reggia,"Italian Contemporary, Seasonal Cuisine",1 Star
Tancredi,"Creative, Italian Contemporary",1 Star
Casa Mazzucchelli,"Creative, Modern Cuisine",1 Star
Imàgo,Italian Contemporary,1 Star
Ca' Matilde,Italian Contemporary,1 Star
21.9,"Country cooking, Creative",1 Star
Inkiostro,"Creative, Contemporary",1 Star
Dattilo,"Country cooking, Creative",1 Star
Osteria di Passignano,"Country cooking, Modern Cuisine",1 Star
Guidoristorante,"Piedmontese, Contemporary",1 Star
La Speranzina Restaurant & Relais,"Creative, Contemporary",1 Star
Spinechile,"Creative, Modern Cuisine",1 Star
Paolo e Barbara,"Country cooking, Contemporary",1 Star
Hyle,"Modern Cuisine, Calabrian",1 Star
Aroma,"Modern Cuisine, Creative",1 Star
La Trota,"Country cooking, Creative",1 Star
Locanda Don Serafino,"Creative, Contemporary",1 Star
Il Patio,"Country cooking, Contemporary",1 Star
Trattoria Zappatori,Modern Cuisine,1 Star
Vescovado,"Ligurian, Modern Cuisine",1 Star
Andrea Monesi - Locanda di Orta,"Country cooking, Creative",1 Star
La Sala dei Grappoli,Modern Cuisine,1 Star
Joia,"Vegetarian, Seasonal Cuisine",1 Star
Prezioso,"Alpine, Creative",1 Star
Trattoria da Amerigo,"Emilian, Regional Cuisine",1 Star
Due Camini,"Vegetarian, Mediterranean Cuisine",1 Star
Silene,"Tuscan, Modern Cuisine",1 Star
Osteria Altran,"Italian Contemporary, Modern Cuisine",1 Star
Lazzaro 1915,"Italian Contemporary, Creative",1 Star
Crocifisso,Contemporary,1 Star
Veritas,"Campanian, Contemporary",1 Star
Contraste,"Modern Cuisine, Innovative",1 Star
Vitantonio Lombardo,Creative,1 Star
Sissi,"Modern Cuisine, Classic Cuisine",1 Star
Taverna del Capitano,Creative,1 Star
Capriccio,"Modern Cuisine, Seafood",1 Star
Impronta d'Acqua,"Italian Contemporary, Creative",1 Star
Marco Bottega Ristorante,Creative,1 Star
Dolomieu,"Contemporary, Modern Cuisine",1 Star
Saporium Firenze,"Creative, Contemporary",1 Star
Borgo San Jacopo,"Modern Cuisine, Classic Cuisine",1 Star
Il Cantinone e Sport Hotel Alpina,"Contemporary, Alpine",1 Star
Osteria della Brughiera,"Italian Contemporary, Creative",1 Star
Oasis - Sapori Antichi,"Campanian, Contemporary",1 Star
Quadri,Modern Cuisine,1 Star
Venissa,"Country cooking, Contemporary",1 Star
Local,"Contemporary, Creative",1 Star
La Locanda del Borgo,"Country cooking, Creative",1 Star
La Ciau del Tornavento,"Italian Contemporary, Country cooking",1 Star
Il Buco,"Mediterranean Cuisine, Modern Cuisine",1 Star
Terrazza Bosquet,Creative,1 Star
San Martino,Modern Cuisine,1 Star
Per Me Giulio Terrinoni,"Seafood, Classic Cuisine",1 Star
Glass Hostaria,Creative,1 Star
Angelo Sabatelli,"Modern Cuisine, Creative",1 Star
Zass,"Mediterranean Cuisine, Contemporary",1 Star
Tre Olivi,"Creative, Campanian",1 Star
Vespasia,"Umbrian, Creative",1 Star
Johannesstube,"Alpine, Modern Cuisine",1 Star
Malga Panna,"Seasonal Cuisine, Creative",1 Star
Del Cambio,"Classic Cuisine, Piedmontese",1 Star
Al Sorriso,"Piedmontese, Modern Cuisine",1 Star
Don Geppi,Creative,1 Star
Don Alfonso 1890,"Creative, Italian",1 Star
La Credenza,Creative,1 Star
Zash,"Creative, Seasonal Cuisine",1 Star
Il Centro,"Piedmontese, Classic Cuisine",1 Star
Locanda San Lorenzo,"Modern Cuisine, Seasonal Cuisine",1 Star
Antica Corte Pallavicina,"Country cooking, Modern Cuisine",1 Star
Bracali,"Italian Contemporary, Creative",1 Star
Laite,"Regional Cuisine, Traditional Cuisine",1 Star
Suinsom,"Italian Contemporary, Modern Cuisine",1 Star
Castello di Fighine,Contemporary,1 Star
Achilli al Parlamento,"Creative, Contemporary",1 Star
Pipero Roma,"Creative, Contemporary",1 Star
Marco Martini Restaurant,"Creative, Contemporary",1 Star
Leon d'Oro,"Country cooking, Creative",1 Star
Il Pellicano,"Creative, Italian Contemporary",1 Star
Dolada,"Country cooking, Modern Cuisine",1 Star
Agli Amici Dopolavoro,"Creative, Contemporary",1 Star
Nazionale,"Country cooking, Modern Cuisine",1 Star
Lanterna Verde,"Regional Cuisine, Modern Cuisine",1 Star
Il Luogo Aimo e Nadia,"Italian Contemporary, Modern Cuisine",1 Star
Bistrot,"Seafood, Italian Contemporary",1 Star
Il Palagio,"Italian Contemporary, Modern Cuisine",1 Star
Il Pievano,"Country cooking, Modern Cuisine",1 Star
Locanda Margon,"Creative, Contemporary",1 Star
Vintage 1997,"Italian, Classic Cuisine",1 Star
Alpenroyal Gourmet,"Creative, Contemporary",1 Star
Qafiz,"Creative, Calabrian",1 Star
Amistà,Italian Contemporary,1 Star
D.one Ristorante Diffuso,"Modern Cuisine, Country cooking",1 Star
Il Convivio Troiani,"Contemporary, Classic Cuisine",1 Star
Rossellinis,"Mediterranean Cuisine, Contemporary",1 Star
President,Mediterranean Cuisine,1 Star
Cucina Cereda,"Modern Cuisine, Lombardian",1 Star
Ca' Vittoria,"Modern Cuisine, Contemporary",1 Star
Cannavacciuolo Bistrot,"Creative, Mediterranean Cuisine",1 Star
La Capinera,"Sicilian, Creative",1 Star
Rezzano Cucina e Vino,"Mediterranean Cuisine, Farm to table",1 Star
Quellenhof Gourmetstube 1897,"Creative, Modern Cuisine",1 Star
La Terrazza,"Modern Cuisine, Innovative",1 Star
Guido,"Seafood, Modern Cuisine",1 Star
Il Flauto di Pan,Creative,1 Star
Abocar Due Cucine,"Creative, International",1 Star
Un Piano nel Cielo,"Mediterranean Cuisine, Contemporary",1 Star
Il Piastrino,"Country cooking, Creative",1 Star
Nostrano,"Country cooking, Creative",1 Star
Le Trabe,"Campanian, Contemporary",1 Star
Gellivs,"Modern Cuisine, Creative",1 Star
Sadler,"Italian, Seafood",1 Star
Condividere,"Italian Contemporary, Creative",1 Star
Carignano,Creative,1 Star
La Rucola 2.0,"Creative, Contemporary",1 Star
La Torre,"Creative, Contemporary",1 Star
Il Ristorante di Guido da Costigliole,"Piedmontese, Modern Cuisine",1 Star
Al Metrò,"Modern Cuisine, Mediterranean Cuisine",1 Star
La Primula,"Italian Contemporary, Modern Cuisine",1 Star
All'Oro,"Creative, Italian Contemporary",1 Star
Moma,"Creative, Modern Cuisine",1 Star
Li Galli,"Contemporary, Italian Contemporary",1 Star
Anna Stuben,"Creative, Modern Cuisine",1 Star
Gourmetstube Einhorn,"Creative, International",1 Star
L'Erba del Re,"Creative, Modern Cuisine",1 Star
IYO,"Japanese, Asian Contemporary",1 Star
Relais Blu,Mediterranean Cuisine,1 Star
Berton,"Italian Contemporary, Creative",1 Star
Cracco in Galleria,"Modern Cuisine, Contemporary",1 Star
Gambero Rosso,"Seafood, Mediterranean Cuisine",1 Star
Lido 84,"Creative, Modern Cuisine",1 Star
Villa Maiella,"Cuisine from Abruzzo, Modern Cuisine",1 Star
La Pineta,"Seafood, Classic Cuisine",1 Star
Shalai,"Sicilian, Modern Cuisine",1 Star
Il Marin,"Seafood, Contemporary",1 Star
Il Fagiano,"Italian Contemporary, Creative",1 Star
Gucci Osteria da Massimo Bottura,"Italian Contemporary, International",1 Star
Tilia,"Modern Cuisine, Contemporary",1 Star
Acquerello,Creative,1 Star
Contrada,"Modern Cuisine, Tuscan",1 Star
L'Argine a Vencò,"Country cooking, Creative",1 Star
Il Falconiere,"Tuscan, Contemporary",1 Star
Il Cappero,"Mediterranean Cuisine, Modern Cuisine",1 Star
Sapio,"Sicilian, Modern Cuisine",1 Star
Trattoria al Cacciatore - La Subida,"Regional Cuisine, Traditional Cuisine",1 Star
All'Enoteca,"Piedmontese, Contemporary",1 Star
Ristorante del Lago,"Cuisine from Romagna, Modern Cuisine",1 Star
La Tana Gourmet,"Creative, Contemporary",1 Star
Damini Macelleria & Affini,"Meats and Grills, Modern Cuisine",1 Star
Aqua Crua,"Creative, Contemporary",1 Star
Casin del Gamba,"Regional Cuisine, Modern Cuisine",1 Star
La Trattoria Enrico Bartolini,"Mediterranean Cuisine, Contemporary",1 Star
Le Petit Bellevue,"Italian Contemporary, Cuisine from the Aosta Valley",1 Star
Miramonti l'Altro,"Italian Contemporary, French",1 Star
Coria,"Italian Contemporary, Sicilian",1 Star
Wood,"Creative, Contemporary",1 Star
I Portici,"Creative, Contemporary",1 Star
Colline Ciociare,"Cuisine from Lazio, Creative",1 Star
LoRo,Creative,1 Star
Nove,"Ligurian, Creative",1 Star
El Molin,"Alpine, Creative",1 Star
La Palta,"Country cooking, Creative",1 Star
Il Cantuccio,Modern Cuisine,1 Star
La Caravella dal 1959,"Campanian, Mediterranean Cuisine",1 Star
La Coldana,"Contemporary, Seasonal Cuisine",1 Star
sui generis.,Creative,1 Star
Horto,"Modern Cuisine, Organic",1 Star
Il Visibilio,"Creative, Contemporary",1 Star
Paolo Griffa al Caffè Nazionale,"Creative, Italian Contemporary",1 Star
La Preséf,"Creative, Alpine",1 Star
Il Gallo Cedrone,"Creative, Contemporary",1 Star
Butterfly,"Italian, Modern Cuisine",1 Star
Antonello Colonna Labico,Italian Contemporary,1 Star
Primo Restaurant,"Mediterranean Cuisine, Contemporary",1 Star
La Tortuga,"Regional Cuisine, Italian Contemporary",1 Star
Lux Lucis,"Creative, Italian Contemporary",1 Star
Casamatta,"Modern Cuisine, Creative",1 Star
Andreina,"Modern Cuisine, Meats and Grills",1 Star
Atman,Creative,1 Star
Pascucci al Porticciolo,Seafood,1 Star
La Magnolia,"Modern Cuisine, Creative",1 Star
Atelier,"Contemporary, Country cooking",1 Star
Il Papavero,"Modern Cuisine, Campanian",1 Star
Poggio Rosso,Creative,1 Star
Il Saraceno,"Mediterranean Cuisine, Modern Cuisine",1 Star
Storie d'Amore,Modern Cuisine,1 Star
Tivoli,"Modern Cuisine, Italian",1 Star
Vecchio Ristoro,"Cuisine from the Aosta Valley, Contemporary",1 Star
Zur Rose,"Regional Cuisine, Classic Cuisine",1 Star
La Parolina,"Country cooking, Modern Cuisine",1 Star
Cannavacciuolo by the Lake,"Contemporary, Modern Cuisine",1 Star
Olio,"Seafood, Italian Contemporary",1 Star
Oseleta,"Creative, Contemporary",1 Star
La Bandiera,"Cuisine from Abruzzo, Contemporary",1 Star
La Buca,"Seafood, Contemporary",1 Star
Le Monzù,"Contemporary, Creative",1 Star
Italo Bassi Confusion Restaurant,"Creative, Contemporary",1 Star
Da Gorini,"Modern Cuisine, Cuisine from Romagna",1 Star
Luca's by Paulo Airaudo,"Contemporary, Creative",1 Star
Zunica 1880 a Villa Corallo,"Modern Cuisine, Regional Cuisine",1 Star
La Zanzara,"Seafood, Classic Cuisine",1 Star
Il Refettorio,Mediterranean Cuisine,1 Star
Caracol,"Mediterranean Cuisine, Creative",1 Star
Al Gatto Verde,"Contemporary, Creative",1 Star
Olmo,"Modern Cuisine, Creative",1 Star
Bluh Furore,"Contemporary, Mediterranean Cuisine",1 Star
Ada,"Creative, Modern Cuisine",1 Star
Equilibrio,"Ligurian, Contemporary",1 Star
Massimo Camia,"Modern Cuisine, Piedmontese",1 Star
Umberto a Mare,Seafood,1 Star
Sarri,"Seafood, Modern Cuisine",1 Star
Indaco,"Creative, Seafood",1 Star
Vecchia Malcesine,"Country cooking, Creative",1 Star
Stube Hermitage,"Creative, Regional Cuisine",1 Star
La Favellina,"Italian Contemporary, Creative",1 Star
Lorenzo,"Seafood, Italian",1 Star
Esplanade,"Italian, Modern Cuisine",1 Star
Schöneck,"Regional Cuisine, Classic Cuisine",1 Star
L'Asinello,"Tuscan, Creative",1 Star
Signum,"Sicilian, Contemporary",1 Star
Pashà,"Modern Cuisine, Apulian",1 Star
Saporium,"Tuscan, Italian Contemporary",1 Star
Due Colombe,"Country cooking, Creative",1 Star
Il Tino,Creative,1 Star
La Stüa de Michil - Simone Cantafio,"Creative, International",1 Star
INEO,"International, Creative",1 Star
Materia,Creative,1 Star
Kuppelrain,"Farm to table, Modern Cuisine",1 Star
Al Gambero,"Lombardian, Classic Cuisine",1 Star
I Pupi,"Sicilian, Contemporary",1 Star
Iris Ristorante,"Contemporary, Italian Contemporary",1 Star
Capogiro,"Modern Cuisine, Sardinian",1 Star
Sensi,"Mediterranean Cuisine, Creative",1 Star
Locanda del Pilone,"Creative, Modern Cuisine",1 Star
Nin,"Creative, Seasonal Cuisine",1 Star
Il Bavaglino,"Creative, Contemporary",1 Star
Orma Roma,"Fusion, Creative",1 Star
Il Sereno Al Lago,"Modern Cuisine, Contemporary",1 Star
Locanda de Banchieri,"Country cooking, Farm to table",1 Star
Sintesi,"Contemporary, Seasonal Cuisine",1 Star
Marotta,Modern Cuisine,1 Star
Alto,"Creative, Italian Contemporary",1 Star
Une,"Creative, Umbrian",1 Star
Trattoria contemporanea,"Italian Contemporary, Creative",1 Star
Il Ristorante Alain Ducasse Napoli,"Creative, Mediterranean Cuisine",1 Star
Contaminazioni Restaurant,"Italian Contemporary, Japanese",1 Star
Glicine,"Mediterranean Cuisine, Italian Contemporary",1 Star
Wistèria,"Modern Cuisine, Contemporary",1 Star
Senso Lake Garda Alfio Ghezzi,"Creative, Modern Cuisine",1 Star
Pulejo,"Italian Contemporary, Creative",1 Star
Cracco Portofino,"Seafood, Contemporary",1 Star
Procaccini,"Modern Cuisine, Contemporary",1 Star
Cannavacciuolo Countryside,"Mediterranean Cuisine, Modern Cuisine",1 Star
Cavallino,"Emilian, Contemporary",1 Star
Osmosi,"Contemporary, Creative",1 Star
Serrae Villa Fiesole,Italian Contemporary,1 Star
Matteo Grandi in Basilica,"Farm to table, Contemporary",1 Star
Alici,"Campanian, Contemporary",1 Star
Acqua Pazza,"Seafood, Classic Cuisine",1 Star
Osteria Acquarol,"Modern Cuisine, Alpine",1 Star
Lorelei,Mediterranean Cuisine,1 Star
Moebius Sperimentale,"Creative, Modern Cuisine",1 Star
Principe Cerami,Modern Cuisine,1 Star
Peter Brunel Ristorante Gourmet,"Modern Cuisine, Creative",1 Star
FRE,"Creative, Contemporary",1 Star
Piano35,"Italian Contemporary, Piedmontese",1 Star
Il Fuoco Sacro,"Italian, Mediterranean Cuisine",1 Star
Villa Naj,"Modern Cuisine, Italian Contemporary",1 Star
Il Tiglio,"Contemporary, Cuisine from the Marches",1 Star
SanBrite,"Alpine, Modern Cuisine",1 Star
Cannavacciuolo Vineyard,Italian Contemporary,1 Star
Casa Bertini,"Modern Cuisine, Country cooking",1 Star
Volta del Fuenti by Michele De Blasio,"Creative, Contemporary",1 Star
Contrada Bricconi,"Country cooking, Modern Cuisine",1 Star
Elementi,"Italian Contemporary, Umbrian",1 Star
O Me O Il Mare,"Italian Contemporary, Modern Cuisine",1 Star
Grual,"Contemporary, Italian Contemporary",1 Star
ARIA,"Contemporary, Modern Cuisine",1 Star
Gusto by Sadler,"Modern Cuisine, Classic Cuisine",1 Star
Anima,"Contemporary, Creative",1 Star
Vineria Modì,"Italian Contemporary, Sicilian",1 Star
Casa Buono,"Country cooking, Creative",1 Star
Re Santi e Leoni,Contemporary,1 Star
Cortile Spirito Santo,"Creative, Modern Cuisine",1 Star
Sciabola,"Creative, Mediterranean Cuisine",1 Star
Cannavacciuolo Le Cattedrali Asti,"Creative, Mediterranean Cuisine",1 Star
Linfa,"Creative, Country cooking",1 Star
